input1,input2,input3,input4,input5,input6,output,usable
310.0,1.0,1.0,1.0,1.0,0.5,0.06714171666162949,True
311.0,0.01,1.0,0.01,0.01,0.1,-3.9501939616990303,True
312.0,0.1,1.0,0.01,0.1,0.5,-2.0342763841443534,True
313.0,1.0,0.1,1.0,1.0,0.5,0.07932978480559881,True
314.0,9.99,1.0,0.1,9.99,1.0,0.1746583287560468,True
315.0,0.1,0.1,0.01,0.01,1.0,-3.732334848353973,True
316.0,1.0,1.0,1.0,0.01,1.0,0.6154007049242906,True
317.0,1.0,0.1,1.0,9.99,1.0,0.1545170968831217,True
318.0,0.1,0.1,0.01,0.01,0.1,-4.942152997248508,True
319.0,0.0,0.0,9.99,9.99,0.5,0.26325866997168923,True
320.0,0.01,0.5,1.0,0.01,0.5,0.2617062355340327,False
321.0,0.1,0.5,0.1,1.0,1.0,0.17199288651558312,True
322.0,1.0,0.01,1.0,0.0,0.0,1.0701264324237394,True
323.0,0.1,1.0,9.99,0.1,0.1,-0.012407304760892857,False
324.0,0.1,0.5,0.1,0.1,1.0,-0.020929586099648234,True
325.0,0.1,0.5,0.1,9.99,0.5,0.10206223804853456,True
326.0,0.01,0.5,0.0,0.01,1.0,-7.818667943351443,True
327.0,0.1,1.0,0.01,0.1,0.5,-3.7644306677777326,True
328.0,0.1,1.0,9.99,0.1,1.0,0.052340990845212376,False
329.0,0.1,0.1,0.01,0.01,1.0,-6.138414788930911,True
330.0,0.1,1.0,0.0,0.0,0.0,-2.4437203051619543,True
331.0,1.0,0.5,1.0,0.0,0.0,0.1891063618094322,True
332.0,0.1,0.1,0.01,0.01,0.1,-2.285065205971318,True
333.0,9.99,1.0,0.1,9.99,0.1,0.03876911693522367,True
334.0,9.99,0.5,9.99,1.0,0.5,-0.0010565662360594308,True
335.0,1.0,0.01,0.01,1.0,1.0,0.25510903940344276,True
336.0,1.0,0.1,1.0,9.99,0.1,0.04987126807388412,True
337.0,1.0,1.0,1.0,0.01,0.1,0.9763832251881503,True
338.0,9.99,0.5,9.99,9.99,1.0,0.42677012534297015,True
339.0,9.99,0.5,9.99,0.1,0.5,0.22808229650764617,False
340.0,0.01,0.5,0.0,0.01,0.5,-8.722824532186266,True
341.0,0.1,0.1,0.1,0.0,0.0,-0.35137869021479773,True
342.0,0.01,1.0,0.01,1.0,1.0,0.16552415841388063,True
343.0,1.0,1.0,0.1,1.0,1.0,0.28860184479872053,True
344.0,9.99,0.5,0.0,0.0,0.0,0.19595632790330375,True
345.0,0.01,1.0,0.01,9.99,0.5,0.10664904859084498,True
346.0,0.1,0.5,9.99,9.99,1.0,0.18022401673545813,True
347.0,1.0,1.0,0.1,0.1,1.0,-0.4640973245552381,True
348.0,0.01,1.0,9.99,9.99,1.0,0.5893482242940216,True
349.0,9.99,1.0,9.99,9.99,0.5,0.07137361964687455,True
350.0,9.99,1.0,0.01,9.99,1.0,0.7865975897194688,True
351.0,1.0,0.5,0.1,1.0,0.01,0.14092411449596653,True
352.0,9.99,1.0,9.99,1.0,1.0,0.1829091398894562,True
353.0,9.99,0.1,0.0,9.99,0.1,0.05432096631139954,True
354.0,1.0,0.5,0.01,1.0,0.5,0.08694584638919134,True
355.0,0.15,0.1,0.15,0.0,0.1,0.889794555681453,True
356.0,9.99,1.0,0.01,9.99,0.1,0.068340306289288,True
357.0,9.99,0.1,0.0,9.99,1.0,0.1961940902999508,True
358.0,9.99,1.0,9.99,1.0,0.1,0.04571437754660895,True
359.0,9.99,0.5,0.1,0.1,1.0,0.1524075454511885,False
360.0,2.0,0.1,1.0,0.0,0.1,1.0554919309207833,True
361.0,1.0,1.0,0.1,1.0,0.1,0.2710336105760633,True
362.0,0.1,1.0,0.1,0.1,0.5,0.0131382072189909,False
363.0,0.01,0.5,0.1,0.1,0.5,-4.246896401064963,True
364.0,0.01,0.01,1.0,0.01,1.0,-6.501601674692369,True
365.0,0.01,1.0,0.01,1.0,0.1,0.02360265716752384,True
366.0,0.1,0.1,0.0,0.0,0.1,-1.7568458938614762,True
367.0,0.01,1.0,9.99,9.99,0.1,0.06771757398252515,True
368.0,1.0,1.0,0.1,0.1,0.1,1.2305466079668697,True
369.0,1.0,0.5,0.0,0.0,0.0,1.1424689497175298,True
370.0,9.99,0.1,0.1,0.1,1.0,-2.423889156285098,True
371.0,1.0,1.0,1.0,1.0,1.0,0.2765844671604953,True
372.0,0.1,0.5,0.0,0.1,1.0,-4.630929979516078,True
373.0,1.0,1.0,1.0,0.1,1.0,-1.1588615506612754,True
374.0,1.0,0.1,9.99,1.0,1.0,0.1535007741716292,True
375.0,1.0,0.01,0.01,0.01,1.0,0.25437244219789235,False
376.0,1.0,1.0,1.0,1.0,0.1,0.12788901930018776,True
