
Lower Haze,Upper Haze,Lower SSA,Upper SSA,Lower Gas,Upper Gas,Model Output µ1+µ2 Value,Darkened or Brightened,Usable
1,1,1,5,1,2.5,0.0009617424972,Darkened,yes
1,0.01,1,1,0.01,1,0.0009841805932,Darkened,yes
0.01,0.01,0.01,1,1,0.01,0.001118777915,Darkened,yes
0.1,0.1,0.1,5,0.1,7.5,0.001119064531,Darkened,yes
0.1,0.1,1,5,0.1,5,0.001123884857,Darkened,yes
1,0.1,0.1,2,0.5,9.99,0.001316934438,Darkened,yes
1,1,1,3,0.5,5,0.001411511088,Darkened,yes
0.1,0.1,1,5,1,1,0.001425405727,Darkened,yes
1,0.5,1,5,0.5,9.99,0.001565240657,Darkened,yes
0.1,0.1,0.1,2,0.5,5,0.001621057404,Darkened,yes
1,1,1,2,0.1,7.5,0.001724946375,Darkened,yes
1,0.5,1,5,1,7.5,0.001727256384,Darkened,yes
0.1,0.5,1,1,0.1,7.5,0.001755935359,Darkened,yes
0.1,1,0.1,1,0.5,7.5,0.001776329707,Darkened,yes
1,1,1,3,0.1,2.5,0.001857242427,Darkened,yes
0.1,0.1,0.1,3,0.5,9.99,0.001945048835,Darkened,yes
0.1,1,1,5,0.1,0.01,0.002011658471,Darkened,yes
1,0.5,1,3,1,9.99,0.00204715956,Darkened,yes
0.01,1,0.01,1,0.01,1,0.002111568771,Darkened,yes
1,1,9.99,1,0.1,1,0.002134244055,Darkened,yes
1,0.01,0.1,1,0.1,1,0.00216473557,Darkened,yes
1,0.5,1,5,0.1,7.5,0.002254392146,Darkened,yes
1,0.5,0.1,2,0.1,9.99,0.002383359492,Darkened,yes
1,0.01,0.01,1,0.01,1,0.002397168154,Darkened,yes
1,1,0.1,5,0.1,1,0.002442188357,Darkened,yes
1,0.5,1,1,0.5,0.01,0.002496295755,Darkened,yes
0.1,0.5,1,3,0.1,5,0.002504301646,Darkened,yes
0.1,0.1,1,3,0.5,7.5,0.002510438583,Darkened,yes
0.1,1,1,1,0.1,1,0.002624568901,Darkened,yes
1,0.1,1,1,1,5,0.002801919799,Darkened,yes
0.1,0.5,0.1,3,1,5,0.002821859711,Darkened,yes
0.1,0.1,1,5,0.1,7.5,0.002870303369,Darkened,yes
0.1,0.5,1,3,1,7.5,0.00299207452,Darkened,yes
0.1,0.1,1,5,1,7.5,0.002997227698,Darkened,yes
0.1,0.5,0.1,5,0.1,1,0.003126195399,Darkened,yes
0.1,0.1,0.1,5,0.5,1,0.003142814023,Darkened,yes
1,0.5,1,5,0.1,2.5,0.003163493589,Darkened,yes
0.1,0.5,1,3,1,2.5,0.00316883313,Darkened,yes
1,1,0.1,5,0.1,5,0.003200934986,Darkened,yes
0.1,1,0.1,3,0.5,2.5,0.003222541066,Darkened,yes
1,0.5,1,3,1,2.5,0.00322643159,Darkened,yes
0.01,0.01,0.01,1,0.01,1,0.003249792575,Darkened,yes
1,0.5,0.1,3,0.1,1,0.0032977554,Darkened,yes
9.99,0.1,9.99,1,0.1,9.99,0.003374287778,Darkened,yes
1,1,0.1,5,0.5,5,0.003386635222,Darkened,yes
1,1,1,3,1,9.99,0.003440086142,Darkened,yes
0.1,0.1,0.1,5,0.1,9.99,0.003471940944,Darkened,yes
0.1,0.1,1,5,0.5,7.5,0.003785545851,Darkened,yes
1,0.1,0.1,5,0.5,7.5,0.003795184846,Darkened,yes
0.1,1,1,3,0.1,2.5,0.00379623068,Darkened,yes
1,0.5,1,5,0.5,5,0.003960268389,Darkened,yes
0.1,0.1,0.1,3,0.5,5,0.004038434674,Darkened,yes
0.1,0.1,0.1,1,1,7.5,0.004233972926,Darkened,yes
0.1,0.5,0.1,5,0.1,0.01,0.004358511237,Darkened,yes
1,0.5,0.1,2,0.1,7.5,0.004453701047,Darkened,yes
1,0.5,1,5,1,2.5,0.004486693368,Darkened,yes
1,0.1,0.1,5,1,1,0.004498945396,Darkened,yes
0.01,1,1,0.01,0.1,1,0.004585522864,Darkened,no
1,0.1,0.1,5,0.5,0.01,0.004671711011,Darkened,yes
1,0.1,1,0,0.1,0,0.004694841721,Darkened,yes
1,0.1,0.1,3,1,1,0.004727998293,Darkened,yes
1,1,0.1,5,0.1,2.5,0.00487647266,Darkened,yes
0.1,1,0.1,3,1,5,0.00491767654,Darkened,yes
1,0.5,0.1,5,1,1,0.004917681815,Darkened,yes
1,0.5,0.1,5,1,7.5,0.004977040153,Darkened,yes
1,0.1,1,3,0.5,1,0.00506422012,Darkened,yes
0.1,0.1,1,5,0.5,5,0.005121028817,Darkened,yes
1,0.1,1,3,1,5,0.005148188333,Darkened,yes
0.1,1,0.1,5,1,5,0.005225665243,Darkened,yes
0.1,0.5,0.1,2,0.1,0.01,0.005237907945,Darkened,yes
1,1,0.1,5,1,2.5,0.00532022845,Darkened,yes
1,1,1,3,0.5,9.99,0.005321677312,Darkened,yes
0.1,0.5,1,1,0.5,0.1,0.005336545076,Darkened,yes
1,1,1,5,0.1,1,0.005357258137,Darkened,yes
0.1,0.1,0.1,5,1,7.5,0.005391770732,Darkened,yes
1,0.5,0.1,5,0.1,9.99,0.005419798494,Darkened,yes
1,0.5,1,5,0.5,1,0.005440621756,Darkened,yes
1,1,1,2,0.1,2.5,0.005460232885,Darkened,yes
0.1,0.5,0.1,2,0.5,5,0.005463108551,Darkened,yes
1,1,0.1,5,1,9.99,0.005484606871,Darkened,yes
1,0.1,1,3,0.5,7.5,0.005542532245,Darkened,yes
1,0.5,0.1,5,0.1,0.01,0.005596843922,Darkened,yes
1,0.1,1,5,0.1,9.99,0.00561945408,Darkened,yes
0.1,0.1,1,2,0.5,5,0.005630837458,Darkened,yes
1,0.5,1,5,0.1,1,0.005631006474,Darkened,yes
0.1,0.5,1,5,1,7.5,0.005654530401,Darkened,yes
1,0.1,0.1,5,0.1,1,0.005673761968,Darkened,yes
0.1,0.1,1,3,0.5,5,0.005704841194,Darkened,yes
1,0.5,1,5,0.5,0.01,0.005836339726,Darkened,yes
0.1,1,1,2,0.1,0.01,0.005840328419,Darkened,yes
0.1,0.1,1,1,0.1,1,0.005848948413,Darkened,yes
0.1,0.5,1,3,0.5,5,0.005912596238,Darkened,yes
1,0.1,0.1,5,0.5,1,0.005929979589,Darkened,yes
0.1,0.5,0.1,3,1,1,0.006119032134,Darkened,yes
1,0.1,1,5,0.5,1,0.00620846859,Darkened,yes
9.99,0.1,0,0,0,0,0.006290500017,Darkened,yes
0.1,0.5,0.1,5,0.1,2.5,0.006310964891,Darkened,yes
0.1,0.5,1,5,1,2.5,0.006312997352,Darkened,yes
0.1,0.5,1,3,0.1,9.99,0.006355386625,Darkened,yes
1,0.1,1,0.01,1,1,0.006385898824,Darkened,no
0.1,0.1,1,1,0.1,7.5,0.006404906737,Darkened,yes
1,1,1,1,0.1,9.99,0.006424204351,Darkened,yes
1,0.1,1,1,0.01,1,0.006425168567,Darkened,yes
0.1,0.1,0.1,3,0.5,7.5,0.006425772777,Darkened,yes
1,0.5,0.1,5,0.5,7.5,0.006467070854,Darkened,yes
1,0.5,0.1,5,0.5,5,0.006483779078,Darkened,yes
0.1,0.1,0.1,5,1,2.5,0.006502657779,Darkened,yes
1,1,1,5,0.5,1,0.006586536181,Darkened,yes
0.1,0.5,0.1,3,0.1,7.5,0.006747709909,Darkened,yes
1,1,1,5,0.5,9.99,0.006759391928,Darkened,yes
1,0.5,0.1,5,0.1,2.5,0.006900029556,Darkened,yes
0.1,0.1,1,3,0.1,1,0.006938488407,Darkened,yes
0.1,0.1,1,2,0.5,9.99,0.006970861403,Darkened,yes
0.1,0.1,0.1,3,1,2.5,0.007035745778,Darkened,yes
1,1,1,5,1,0.01,0.00712475759,Darkened,yes
0.1,0.5,0.1,0.1,1,9.99,0.007234777634,Darkened,no
1,0.1,0.1,3,0.5,2.5,0.007266858993,Darkened,yes
1,0.1,1,5,0.1,0.01,0.00730879786,Darkened,yes
1,0.1,1,0.1,0.1,1,0.007525045459,Darkened,yes
0.1,0.5,0.1,3,0.1,5,0.007588160447,Darkened,yes
0.1,0.5,0.1,5,1,5,0.007658327769,Darkened,yes
1,1,0.1,5,0.1,7.5,0.007728099716,Darkened,yes
0.1,0.5,1,1,0.1,5,0.007748724788,Darkened,yes
1,0.5,1,5,0.5,2.5,0.007804187018,Darkened,yes
0.1,1,0.1,5,0.5,0.01,0.007849308623,Darkened,yes
1,0.5,1,5,1,0.01,0.008007506768,Darkened,yes
0.1,1,0.1,3,0.5,1,0.008041509363,Darkened,yes
0.1,0.1,0.1,2,1,7.5,0.008058358861,Darkened,yes
0.1,0.1,0.1,3,0.1,9.99,0.008076297722,Darkened,yes
0.1,0.5,1,5,0.1,0.01,0.008089895409,Darkened,yes
1,1,0.1,3,0.5,5,0.008159742157,Darkened,yes
1,0.5,1,5,0.1,5,0.008238069521,Darkened,yes
1,1,1,5,0.5,0.01,0.008262045685,Darkened,yes
1,0.1,1,2,0.5,9.99,0.008268965945,Darkened,yes
0.1,1,0.1,2,0.1,7.5,0.008280044307,Darkened,yes
1,0.1,0.1,5,0.1,0.01,0.008293449545,Darkened,yes
1,1,0.1,5,0.5,7.5,0.008310598691,Darkened,yes
0.1,1,1,3,0.5,7.5,0.008366321583,Darkened,yes
1,0.5,1,5,1,1,0.008380704588,Darkened,yes
1,0.5,0.1,1,1,7.5,0.008396870874,Darkened,yes
0.1,0.5,1,5,0.1,2.5,0.008567816826,Darkened,yes
0.1,0.1,0.1,0.1,0.1,1,0.008617139275,Darkened,yes
1,0.1,1,5,0.1,1,0.008707250076,Darkened,yes
0.1,0.5,0.1,3,0.1,9.99,0.008757756699,Darkened,yes
1,1,1,5,1,1,0.008875414212,Darkened,yes
1,0.1,0.1,2,0.5,7.5,0.00887671706,Darkened,yes
1,0.1,1,3,0.1,9.99,0.008886762722,Darkened,yes
1,1,0.1,3,1,2.5,0.009014686504,Darkened,yes
1,1,0.1,3,0.1,7.5,0.00906138735,Darkened,yes
0.1,0.1,0.1,3,1,5,0.009076475124,Darkened,yes
1,0.5,1,3,0.1,7.5,0.009089537034,Darkened,yes
0.1,1,1,5,1,5,0.00910708654,Darkened,yes
1,0.01,0.01,1,1,0.01,0.009126449415,Darkened,yes
1,0.5,0.1,5,0.1,7.5,0.009139126342,Darkened,yes
1,1,0.1,5,0.1,0.01,0.009152236746,Darkened,yes
1,0.5,1,2,0.5,9.99,0.00916791883,Darkened,yes
1,0.1,1,3,0.1,1,0.009199246019,Darkened,yes
0.1,0.5,1,5,0.5,2.5,0.009205903042,Darkened,yes
9.99,0.1,9.99,0.1,1,9.99,0.009292673529,Darkened,no
0,0,1,1,1,0,0.009297146133,Darkened,yes
1,0.1,0.1,3,0.1,1,0.009349340827,Darkened,yes
0.1,0.1,1,5,1,5,0.009402212904,Darkened,yes
0.1,1,1,5,0.1,2.5,0.009471091848,Darkened,yes
0.01,0.1,1,0.01,0.1,1,0.009565896519,Darkened,no
1,0.1,0.1,5,1,5,0.00959017413,Darkened,yes
0.1,0.1,0.1,5,0.5,5,0.009604091027,Darkened,yes
0.1,0.5,0.1,5,0.5,0.01,0.00961852751,Darkened,yes
0.1,0.5,0.1,5,1,0.01,0.009628268155,Darkened,yes
1,1,0.1,5,1,5,0.009629219136,Darkened,yes
1,0.5,0.1,5,0.1,5,0.009666051119,Darkened,yes
0.1,1,1,5,0.5,0.01,0.009750982563,Darkened,yes
1,0.5,1,5,0.1,9.99,0.009831236352,Darkened,yes
0.1,1,0.1,5,0.1,0.01,0.009877019167,Darkened,yes
0.1,0.1,0.1,5,1,0.01,0.009899449944,Darkened,yes
0.1,1,0.1,5,1,7.5,0.009952268016,Darkened,yes
0.1,1,1,2,0.1,5,0.01009524533,Darkened,yes
9.99,1,0,9.99,0.1,9.99,0.01013253965,Darkened,yes
1,1,1,5,1,5,0.01014484698,Darkened,yes
0.1,0.1,0.1,1,1,5,0.01018403312,Darkened,yes
1,0.1,1,9.99,0.1,9.99,0.01028062805,Darkened,yes
1,0.5,1,3,0.5,2.5,0.01030734505,Darkened,yes
1,0.1,9.99,1,0.1,1,0.01037991921,Darkened,yes
0.1,1,0.1,5,0.5,2.5,0.01040235777,Darkened,yes
1,1,1,2,0.1,5,0.01045103654,Darkened,yes
1,0.5,0.1,5,1,0.01,0.01046837439,Darkened,yes
0.1,0.5,1,5,0.5,9.99,0.01048281439,Darkened,yes
0.1,0.5,0.1,3,0.5,1,0.0104908481,Darkened,yes
0.1,1,0.1,9.99,0.1,9.99,0.01051877463,Darkened,yes
0.01,0.1,1,1,0.1,1,0.0105451881,Darkened,yes
0.1,1,1,3,0.5,5,0.01056334718,Darkened,yes
0.1,0.5,1,3,0.5,1,0.01058208766,Darkened,yes
1,0.1,1,3,1,7.5,0.01060969083,Darkened,yes
0.1,0.5,1,5,0.1,1,0.01061319396,Darkened,yes
0.1,0.5,0.1,5,0.5,2.5,0.01064219329,Darkened,yes
0.01,0.1,9.99,9.99,0.1,9.99,0.01065525468,Darkened,yes
0.1,0.1,0.1,1,0.1,2.5,0.01080979975,Darkened,yes
0.1,0.1,1,5,0.5,0.01,0.01103898942,Darkened,yes
1,0.1,0.1,3,1,5,0.01106259542,Darkened,yes
1,0.1,0.1,1,0.1,5,0.01109570407,Darkened,yes
1,0.1,0.1,5,1,9.99,0.01113734482,Darkened,yes
0.1,1,0.1,0.1,1,1,0.01114070251,Darkened,yes
1,0.5,1,5,1,5,0.01115585255,Darkened,yes
9.99,1,0.01,9.99,0.1,9.99,0.01121005241,Darkened,yes
1,0.5,0.1,1,0.1,7.5,0.01121085627,Darkened,yes
0.1,1,0.1,5,0.1,5,0.01122705335,Darkened,yes
1,0.5,1,2,0.1,1,0.01130032163,Darkened,yes
1,0.5,1,1,0.1,2.5,0.01130227863,Darkened,yes
0.1,0.1,1,5,0.5,1,0.0113279456,Darkened,yes
1,0.1,0.1,5,1,0.01,0.01142109167,Darkened,yes
1,1,1,3,1,2.5,0.01146974205,Darkened,yes
0.1,0.1,1,5,1,2.5,0.01153143053,Darkened,yes
0.1,0.5,0.1,1,0.1,9.99,0.0115357793,Darkened,yes
0.1,0.1,0.1,3,0.1,5,0.01157980568,Darkened,yes
1,1,1,5,1,7.5,0.01160663864,Darkened,yes
1,0.1,0.1,5,0.1,2.5,0.01174043693,Darkened,yes
1,1,0.1,5,0.5,9.99,0.01176854722,Darkened,yes
0.1,0.1,1,2,0.1,5,0.01179302912,Darkened,yes
0.1,0.1,1,3,1,5,0.0117994453,Darkened,yes
1,1,1,5,0.1,2.5,0.01181607268,Darkened,yes
1,0.1,0.1,3,1,2.5,0.01186645113,Darkened,yes
0.1,1,1,5,0.5,7.5,0.01188660989,Darkened,yes
0.1,1,0.1,5,0.5,1,0.01199298613,Darkened,yes
1,1,0.1,2,0.1,7.5,0.01199574445,Darkened,yes
0.1,0.1,0.1,5,1,9.99,0.01208698537,Darkened,yes
1,0.1,1,3,0.5,2.5,0.01225706484,Darkened,yes
0.1,0.5,0.1,1,0.5,2.5,0.01238778914,Darkened,yes
1,0.5,0.1,1,0.5,9.99,0.01243264347,Darkened,yes
1,0.1,0.1,2,1,7.5,0.01252758434,Darkened,yes
1,0.01,1,1,0.5,0.1,0.01259194104,Darkened,yes
1,0.1,1,5,1,1,0.01259625127,Darkened,yes
0.1,0.5,0.1,5,0.5,5,0.01261611222,Darkened,yes
0.1,1,1,3,1,1,0.01263531772,Darkened,yes
1,1,1,3,0.1,9.99,0.01266027842,Darkened,yes
0.1,1,1,2,0.5,9.99,0.01277581609,Darkened,yes
0.1,0.1,1,3,0.5,9.99,0.01278730816,Darkened,yes
9.99,1,9.99,0,0,0,0.01279117012,Darkened,yes
0.1,0.1,0.1,5,0.1,2.5,0.01286408009,Darkened,yes
1,1,1,1,0.5,5,0.01287947726,Darkened,yes
1,1,1,3,0.5,2.5,0.01294186617,Darkened,yes
1,0.5,1,1,0.1,1,0.01294958244,Darkened,yes
0.1,0.1,1,3,0.5,2.5,0.01302973142,Darkened,yes
0.1,0.5,0.1,3,1,2.5,0.01305373082,Darkened,yes
0.1,0.1,0.1,5,0.5,9.99,0.01309541699,Darkened,yes
0.1,1,1,3,0.1,1,0.01312736089,Darkened,yes
1,0.5,0.1,3,0.5,2.5,0.01320002044,Darkened,yes
1,0.5,0.1,3,1,9.99,0.0132549015,Darkened,yes
1,1,1,5,1,9.99,0.01329586878,Darkened,yes
1,0.5,0.1,2,0.1,5,0.0133780676,Darkened,yes
0.1,1,1,5,0.5,1,0.01338883068,Darkened,yes
0.1,0.1,1,3,0.1,7.5,0.01349159003,Darkened,yes
1,0.1,0.1,2,1,5,0.01349944843,Darkened,yes
1,0.5,1,3,0.1,5,0.01351046981,Darkened,yes
1,0.1,1,1,1,0,0.01363160074,Darkened,yes
9.99,0.1,1,1,0.1,1,0.01363502203,Darkened,yes
0.1,1,0.1,5,1,0.01,0.0136653859,Darkened,yes
1,1,0.1,1,1,5,0.01368064,Darkened,yes
1,0.1,1,3,1,2.5,0.0138206676,Darkened,yes
1,1,1,5,0.5,2.5,0.01382424271,Darkened,yes
1,0.1,1,1,0.1,5,0.0138349886,Darkened,yes
0.1,0.1,0.1,1,0.1,1,0.01391658714,Darkened,yes
0.1,0.1,0.1,2,0.1,7.5,0.01392743983,Darkened,yes
0.1,0.1,0.1,2,0.1,5,0.01403370906,Darkened,yes
0.1,0.1,1,5,0.1,1,0.0141702787,Darkened,yes
0.1,0.5,0.1,5,0.5,9.99,0.01425931005,Darkened,yes
9.99,0.5,0,0,0,0,0.01426352236,Darkened,yes
0.1,0.5,1,3,0.1,2.5,0.01433359088,Darkened,yes
0.1,0.1,0.1,5,0.5,0.01,0.01433427196,Darkened,yes
0,0.1,1,1,0.1,1,0.01436697181,Darkened,yes
0.1,1,0.1,1,0.5,0.1,0.01439916737,Darkened,yes
0.1,0.5,0.1,3,0.5,9.99,0.01440097662,Darkened,yes
1,0.5,1,5,1,9.99,0.01444142028,Darkened,yes
0.1,1,0.1,5,0.1,1,0.01448450614,Darkened,yes
0.1,1,0.1,3,0.1,1,0.01449526554,Darkened,yes
0.1,0.5,0.1,3,0.1,2.5,0.01455505306,Darkened,yes
1,1,1,1,1,9.99,0.0145918965,Darkened,yes
1,0.1,0.1,5,1,2.5,0.01481895105,Darkened,yes
0.1,0.1,0.1,5,1,5,0.01482257739,Darkened,yes
0.1,1,1,0.5,1,1,0.0149294009,Darkened,yes
1,0.1,1,2,1,7.5,0.01498280573,Darkened,yes
0.1,1,1,3,0.1,7.5,0.01512591392,Darkened,yes
9.99,0.1,9.99,9.99,0.1,9.99,0.01512773776,Darkened,yes
0.1,0.5,1,3,1,1,0.01518968219,Darkened,yes
1,0.5,0.1,3,0.1,2.5,0.0152584129,Darkened,yes
0.01,1,0.01,1,0.1,1,0.01543646902,Darkened,yes
1,0.5,1,0.1,0.5,1,0.01551990287,Darkened,yes
1,0.5,1,1,0.1,0.1,0.01554708479,Darkened,yes
0.1,0.5,0.1,3,1,7.5,0.01564004979,Darkened,yes
0.1,1,0.1,5,0.1,7.5,0.01567101878,Darkened,yes
9.99,0.1,0.01,9.99,0.1,9.99,0.01567623097,Darkened,yes
1,0.5,0.1,2,0.5,9.99,0.01572831408,Darkened,yes
0.1,0.5,1,3,0.5,9.99,0.01578836691,Darkened,yes
0.1,0.5,1,2,0.1,7.5,0.0159134392,Darkened,yes
1,0.1,0.01,1,0.1,1,0.0159981171,Darkened,yes
1,0.1,0.1,5,0.5,2.5,0.01604766311,Darkened,yes
0.1,0.1,0.1,2,0.1,9.99,0.01614293273,Darkened,yes
0.1,1,0.1,5,1,9.99,0.0163990224,Darkened,yes
0.1,0.5,1,5,1,5,0.01642508695,Darkened,yes
0.1,1,1,3,0.5,1,0.01646867571,Darkened,yes
1,1,0.1,1,0.5,7.5,0.01650833901,Darkened,yes
9.99,1,0,0,0,0,0.0165329008,Darkened,yes
1,0.5,1,3,1,5,0.01661954015,Darkened,yes
0.1,1,1,1,0.1,2.5,0.01665745153,Darkened,yes
1,0.1,0.1,3,0.1,5,0.0166846914,Darkened,yes
0.1,0.5,1,1,1,9.99,0.01676361106,Darkened,yes
0.1,1,1,3,1,2.5,0.01690921555,Darkened,yes
1,0.1,0.1,3,0.5,1,0.01696700843,Darkened,yes
1,0.5,1,3,0.5,5,0.01697488138,Darkened,yes
1,1,0.1,5,0.1,9.99,0.01697686291,Darkened,yes
0.1,0.5,1,5,0.5,1,0.0170076389,Darkened,yes
1,0.1,0.1,5,0.1,9.99,0.01701830773,Darkened,yes
1,0.5,0.1,5,0.5,2.5,0.01702730732,Darkened,yes
1,1,0.1,5,0.5,0.01,0.01706612493,Darkened,yes
1,0.5,0.1,2,1,5,0.0172912741,Darkened,yes
1,0.5,0.1,3,0.1,5,0.01730768017,Darkened,yes
1,0.5,1,5,0.1,0.01,0.01732150856,Darkened,yes
0.1,0.5,0.1,5,1,1,0.01734130267,Darkened,yes
0.1,1,0.1,3,1,1,0.01736743204,Darkened,yes
1,1,0.1,5,0.5,1,0.01744720969,Darkened,yes
0.1,0.5,1,2,0.1,9.99,0.01762710993,Darkened,yes
0.1,1,0.1,3,1,9.99,0.01771144487,Darkened,yes
0.1,1,1,2,0.1,2.5,0.01775281039,Darkened,yes
9.99,1,1,9.99,0.1,9.99,0.01780711517,Darkened,yes
1,1,0.1,3,0.1,2.5,0.01783059837,Darkened,yes
1,0.1,0.1,3,0.1,2.5,0.01801684535,Darkened,yes
0.1,1,0.1,1,0.1,7.5,0.01805082765,Darkened,yes
1,0.5,0.1,0.01,0.5,9.99,0.01833019821,Darkened,no
1,0.1,1,5,1,0.01,0.01836854897,Darkened,yes
1,1,1,5,0.5,5,0.01851653671,Darkened,yes
0.1,0.1,1,1,0.5,7.5,0.01855689519,Darkened,yes
0.1,1,1,5,1,0.01,0.018578822,Darkened,yes
0.1,0.5,0.1,2,0.1,9.99,0.01858945439,Darkened,yes
1,1,0.1,1,0.1,7.5,0.0186186666,Darkened,yes
1,0.5,0.1,5,0.5,1,0.01867268617,Darkened,yes
0.1,0.1,1,3,1,2.5,0.01867316229,Darkened,yes
1,0.5,1,1,0.5,7.5,0.01871513136,Darkened,yes
1,1,0.1,3,0.5,7.5,0.01872590119,Darkened,yes
1,1,1,2,0.5,9.99,0.01872901046,Darkened,yes
0.1,0.1,1,5,1,0.01,0.01879750948,Darkened,yes
0,0,0,9.99,0.1,9.99,0.01881244328,Darkened,yes
0.1,0.5,1,5,1,0.01,0.01883959895,Darkened,yes
0.1,0.5,1,3,0.1,1,0.01884289904,Darkened,yes
0.1,0.1,0.1,1,0.5,5,0.01887996068,Darkened,yes
1,1,1,9.99,0.1,9.99,0.0189657143,Darkened,yes
9.99,0.1,9.99,0,0,0,0.01908335052,Darkened,yes
1,0.5,9.99,1,0.5,9.99,0.01909165457,Darkened,yes
9.99,0.1,9.99,1,1,9.99,0.01913655807,Darkened,yes
0.1,1,1,2,0.5,7.5,0.0191572931,Darkened,yes
1,0.01,1,0.01,1,1,0.01922397487,Darkened,no
0.1,0.1,0.1,3,1,1,0.01924829867,Darkened,yes
9.99,0.1,9.99,1,0.1,1,0.01932904801,Darkened,yes
1,1,0.1,0.01,1,5,0.01936764564,Darkened,no
0.1,0.5,0.1,5,1,9.99,0.01947674476,Darkened,yes
1,0.1,0.1,2,0.1,9.99,0.019534191,Darkened,yes
1,0.5,0.1,5,0.5,0.01,0.01961297026,Darkened,yes
1,1,1,5,0.1,0.01,0.01964437405,Darkened,yes
0.5,1,1,0.1,1,1,0.0196755575,Darkened,yes
1,0.1,1,5,0.1,5,0.01992867667,Darkened,yes
1,0.1,1,5,0.5,5,0.0199289637,Darkened,yes
0.1,0.1,1,5,0.5,2.5,0.01997874859,Darkened,yes
0.1,1,1,5,0.1,9.99,0.0200333714,Darkened,yes
0.1,1,1,3,1,5,0.02017100311,Darkened,yes
0.1,0.5,1,5,0.1,5,0.02018076518,Darkened,yes
1,0.1,1,3,1,1,0.02031049704,Darkened,yes
1,0.5,0.1,1,0.5,5,0.02062272991,Darkened,yes
0,0,1,1,0.1,1,0.02064337484,Darkened,yes
9.99,0.1,1,9.99,0.1,9.99,0.02065891372,Darkened,yes
0.1,1,1,3,0.5,2.5,0.02073695971,Darkened,yes
1,0.5,0.1,5,0.1,1,0.02076124766,Darkened,yes
0.01,0.1,0.01,0.01,0.1,1,0.0207733555,Darkened,no
1,0.1,0.1,5,0.1,5,0.02081511123,Darkened,yes
0.1,1,1,2,0.5,5,0.02092258567,Darkened,yes
0.1,0.1,0.1,3,1,7.5,0.02099117824,Darkened,yes
0,0,0,1,0.1,1,0.02105550221,Darkened,yes
0.1,0.1,1,3,0.5,1,0.02107254646,Darkened,yes
0.1,1,1,5,1,7.5,0.02108165543,Darkened,yes
1,1,0.1,3,0.5,2.5,0.02115377968,Darkened,yes
1,0.5,0.1,2,0.5,7.5,0.02123553335,Darkened,yes
0.1,0.5,1,5,0.5,7.5,0.02127578643,Darkened,yes
0.1,0.5,1,2,1,5,0.02128917519,Darkened,yes
0.1,1,0.1,5,0.5,5,0.02150974258,Darkened,yes
1,1,1,3,0.5,7.5,0.02151011869,Darkened,yes
0.1,0.5,1,2,1,9.99,0.02168597096,Darkened,yes
1,1,1,3,0.1,5,0.02181540233,Darkened,yes
1,0.5,1,2,1,7.5,0.02192127907,Darkened,yes
0.1,0.5,1,1,0.1,2.5,0.02193666299,Darkened,yes
9.99,0.5,1,1,1,9.99,0.0219725304,Darkened,yes
0.1,0.5,0.1,2,0.1,2.5,0.02198029853,Darkened,yes
1,0.5,0.1,5,1,9.99,0.02198682629,Darkened,yes
1,1,0.1,2,0.1,1,0.02201497195,Darkened,yes
1,0.1,1,5,0.5,0.01,0.02201537653,Darkened,yes
1,0.5,1,0.01,0.1,9.99,0.02213942104,Darkened,no
1,0.5,0.1,3,1,7.5,0.02226347589,Darkened,yes
0.1,1,1,3,0.1,5,0.02232521206,Darkened,yes
1,0.5,0.1,2,0.1,2.5,0.02232969929,Darkened,yes
1,0.1,1,3,1,9.99,0.02236551076,Darkened,yes
1,0.5,0.1,1,1,5,0.02240920894,Darkened,yes
0.1,0.1,0.1,9.99,0.1,9.99,0.02243992775,Darkened,yes
1,0.1,1,5,1,7.5,0.02247865754,Darkened,yes
0.01,1,0.01,1,1,0.01,0.02253927506,Darkened,yes
0.1,0.1,1,3,1,1,0.02260880317,Darkened,yes
0.1,0.5,1,5,0.5,0.01,0.02266713654,Darkened,yes
1,0.1,1,1,1,9.99,0.02270588227,Darkened,yes
0.1,0.5,1,3,0.1,7.5,0.02280868187,Darkened,yes
0.1,0.1,1,3,1,9.99,0.02290717018,Darkened,yes
0.01,1,0.01,9.99,0.1,9.99,0.02306579,Darkened,yes
1,1,1,2,0.1,1,0.02311045777,Darkened,yes
1,0.1,1,1,0.5,0.1,0.02311500875,Darkened,yes
0.1,0.1,0.1,2,1,5,0.02314294144,Darkened,yes
0.1,0.1,1,3,0.1,2.5,0.0232498399,Darkened,yes
1,0.5,0.1,5,1,2.5,0.02329413848,Darkened,yes
0.1,1,1,5,0.1,1,0.02332202978,Darkened,yes
1,0.1,0,1,0.1,1,0.02334933104,Darkened,yes
1,0.1,0.1,2,0.5,5,0.02335776359,Darkened,yes
0.1,1,1,5,0.1,5,0.0233595358,Darkened,yes
0.1,1,1,3,0.1,9.99,0.02367061561,Darkened,yes
1,0.1,0.1,0.01,0.1,7.5,0.02369155048,Darkened,no
0.1,0.1,0.1,1,0.1,5,0.02373669972,Darkened,yes
1,1,0.1,3,1,7.5,0.02383462336,Darkened,yes
1,0.5,1,2,0.1,2.5,0.02395671662,Darkened,yes
1,0.5,0.1,3,1,2.5,0.02407266197,Darkened,yes
1,1,1,0,0,0,0.02407824998,Darkened,yes
